id,dirreccion,barrio,comuna,geometry
242,"Peron, Juan Domingo, Tte. General 4190",Almagro,Comuna 5,POINT (-58.425923200304084 -34.60600191161627)
243,Diaz Velez Av. 4700,Caballito,Comuna 6,POINT (-58.43281608430789 -34.608804462573005)
244,Gallo 600,Almagro,Comuna 5,POINT (-58.41289383362858 -34.6025880155224)
245,Cordoba Av. 466,San Nicolas,Comuna 1,POINT (-58.373794385171756 -34.59867116457981)
246,"De La Torre, Lisandro 1000",Liniers,Comuna 9,POINT (-58.5171377814138 -34.6494465132002)
247,"Garay, Juan De Av. 200",San Telmo,Comuna 1,POINT (-58.36795621855991 -34.624144536401175)
248,Lima 1600,Constitucion,Comuna 1,POINT (-58.38223995121262 -34.6269148120993)
249,Dorrego 1782,Colegiales,Comuna 13,POINT (-58.443010129750384 -34.58132216848959)
250,Corrientes Av. 100,San Nicolas,Comuna 1,POINT (-58.368902335543766 -34.602961491837085)
251,Diaz Velez Av. 3600,Almagro,Comuna 5,POINT (-58.41749207285964 -34.608533976180965)
252,"Peron, Juan Domingo, Tte. General 4272",Almagro,Comuna 5,POINT (-58.42695636701187 -34.60599647085085)
253,Del Libertador Av. 440,Retiro,Comuna 1,POINT (-58.37994117116476 -34.58999423550156)
254,"Alem, Leandro N. Av. 1000",Retiro,Comuna 1,POINT (-58.37272499289863 -34.595325108112185)
255,Sarmiento Av. 2704,Palermo,Comuna 14,POINT (-58.41565476894367 -34.575507461978496)
256,Asamblea Av. 1150,Parque Chacabuco,Comuna 7,POINT (-58.441051371554444 -34.63577002200659)
257,Ramos Mejia y Franklin,Caballito,Comuna 6,POINT (-58.43263620835239 -34.60542994645572)
258,Cordoba Av. 596,Retiro,Comuna 1,POINT (-58.37533187397457 -34.59869687357453)
259,"Moreno, Jose Maria Av. 10",Caballito,Comuna 6,POINT (-58.43625469617598 -34.6184898359938)
260,Cordoba Av. 1752,San Nicolas,Comuna 1,POINT (-58.392292844999616 -34.59968058321381)
261,Antartida Argentina Av. 1455,Retiro,Comuna 1,POINT (-58.373259813401965 -34.58319514045627)
262,Gascon 400,Almagro,Comuna 5,POINT (-58.424694947159146 -34.607358304046315)
263,De Los Inmigrantes Av. 1950,Retiro,Comuna 1,POINT (-58.37060061031819 -34.58586086403051)
264,Diaz Velez Av. 5082,Caballito,Comuna 6,POINT (-58.43836930538582 -34.60887253938018)
